dataset,symbol,ticker,rows,start_date,end_date,missing_values,duplicate_dates,large_date_gaps,close_min,close_mean,close_max,volume_mean
BTC,BTC_USD,BTC-USD,262,2020-01-03,2025-01-03,0,0,0,5563.70703125,36472.534833835285,101459.2578125,231364520831.5229
MARKET,GLD,GLD,262,2020-01-03,2025-01-03,0,0,0,140.11000061035156,181.12851115219465,253.32000732421875,41388911.83206107
MARKET,QQQ,QQQ,262,2020-01-03,2025-01-03,0,0,0,170.6999969482422,345.4257636033852,530.530029296875,238066393.129771
MARKET,SPY,SPY,262,2020-01-03,2025-01-03,0,0,0,228.8000030517578,425.56385593559907,607.8099975585938,392070230.15267175
MACRO,US10Y,^TNX,262,2020-01-03,2025-01-03,0,0,0,0.5360000133514404,2.691988542107225,4.923999786376953,0.0
MACRO,US20Y,TLT,262,2020-01-03,2025-01-03,0,0,0,83.23999786376953,122.84068694369483,171.0,113747612.97709924
MACRO,US30Y,^TYX,262,2020-01-03,2025-01-03,0,0,0,1.1770000457763672,3.0470496193143246,5.089000225067139,0.0
MACRO,VIX,^VIX,262,2020-01-03,2025-01-03,0,0,0,11.93000030517578,21.05625957751092,66.04000091552734,0.0
