Date,btc_close,btc_return_1w,btc_return_4w,btc_volatility_4w,btc_sma_ratio_4w,btc_rsi_14w,market_QQQ_return_1w,macro_VIX_close,fear_greed_value,target_next_week_return,target_next_week_up
2020-04-10,6865.4931640625,0.0196195396119949,0.2339781957426372,0.0411488156496996,0.0454751148380638,47.79789058035484,0.0953809563117817,41.66999816894531,16.285714285714285,0.0336015783188827,1
2020-04-17,7096.1845703125,0.0336015783188827,0.1447714700587581,0.0107424745354127,0.0449063552196118,44.80092026389234,0.0718410466590306,38.150001525878906,13.857142857142858,0.0640789855574071,1
2020-04-24,7550.90087890625,0.0640789855574071,0.1670998819862148,0.0185803780333536,0.069306806776092,43.09970172805662,-0.0067350875259447,35.93000030517578,17.714285714285715,0.1740011879015108,1
2020-05-01,8864.7666015625,0.1740011879015108,0.3165389615950773,0.0699581102993529,0.1672865471115325,51.93842066810859,-0.0051439901962421,37.18999862670898,29.857142857142858,0.1103130469210702,1
2020-05-08,9842.666015625,0.1103130469210702,0.4336429707841738,0.0611025302517166,0.1803697473342613,52.25976003176905,0.0569709260328892,27.979999542236328,45.0,-0.0522692479032909,0
2020-05-15,9328.197265625,-0.0522692479032909,0.3145370125588782,0.0955008213049226,0.0485087549651854,47.8657696493455,-0.0070710501359728,31.88999938964844,44.0,-0.0156107458966503,0
2020-05-22,9182.5771484375,-0.0156107458966503,0.2160902779282143,0.1060034688177877,-0.0131091333091446,44.66576496655242,0.0286200531525524,28.15999984741211,46.285714285714285,0.0279384393784978,1
2020-05-29,9439.1240234375,0.0279384393784978,0.0647910371124451,0.0699696544715052,-0.0009543771346804,48.78985603160625,0.0161107589011708,27.51000022888184,41.57142857142857,0.0239862490550311,1
2020-06-05,9665.533203125,0.0239862490550311,-0.0179964261937574,0.0377183565395225,0.0278263767348225,55.26500433455562,0.0271254791502337,24.520000457763672,51.42857142857143,-0.0191080460067415,0
2020-06-12,9480.84375,-0.0191080460067415,0.0163639854548864,0.0251044393778611,0.0041118553738959,51.95459381247999,-0.0158955213808933,36.09000015258789,51.0,-0.0203384002940139,0
