Date,btc_close,btc_return_1w,btc_return_2w,btc_return_4w,btc_range_pct,btc_volume_change_1w,btc_vwap_distance,btc_sma_ratio_4w,btc_volatility_4w,btc_sma_ratio_8w,btc_volatility_8w,btc_sma_ratio_12w,btc_volatility_12w,btc_rsi_14w,btc_macd,btc_macd_signal,market_GLD_return_1w,market_QQQ_return_1w,market_SPY_return_1w,macro_US10Y_close,macro_US20Y_close,macro_US30Y_close,macro_VIX_close,macro_US10Y_change_1w,macro_US20Y_change_1w,macro_US30Y_change_1w,macro_VIX_change_1w,fear_greed_value,fear_greed_change_1w,target_next_week_return,target_next_week_up
2020-04-10,6865.4931640625,0.01961953961199492,0.061160302598906924,0.23397819574263723,0.10654072072674359,0.03731741071721517,-0.03130514408820129,0.04547511483806388,0.04114881564969968,-0.07399204647765634,0.15871372468885633,-0.1525532404480574,0.1363551814524465,47.79789058035484,-193.24934030889563,91.38731236432994,0.03956769594774934,0.09538095631178178,0.12091546585447133,0.7289999723434448,165.38999938964844,1.3530000448226929,41.66999816894531,0.1419999599456787,-3.1100006103515625,0.1390000581741333,-5.130001068115234,16.285714285714285,4.571428571428571,0.033601578318882774,1
2020-04-17,7096.1845703125,0.033601578318882774,0.05388036542773067,0.14477147005875812,0.08619825271970949,-0.06871397330590512,0.028404964243257114,0.04490635521961184,0.010742474535412749,0.0008308357014394918,0.16008582535941054,-0.1117498470507714,0.1361832909089201,44.800920263892344,-210.2991434694859,31.05002119756677,-0.0007561605352662815,0.07184104665903068,0.030337893857191434,0.6539999842643738,167.80999755859375,1.2760000228881836,38.150001525878906,-0.07499998807907104,2.4199981689453125,-0.07700002193450928,-3.5199966430664062,13.857142857142858,-2.428571428571427,0.0640789855574071,1
2020-04-24,7550.90087890625,0.0640789855574071,0.09983371892809156,0.16709988198621484,0.09796889534535957,-0.023138641679357086,0.05237955711885767,0.06930680677609202,0.018580378033353637,0.08644501550090755,0.15903343965995012,-0.03674947964776987,0.13353687396757186,43.09970172805662,-184.98701428048207,-12.157385898042996,0.025666846676168698,-0.006735087525944761,-0.012803562797174761,0.5960000157356262,170.83999633789062,1.1770000457763672,35.93000030517578,-0.05799996852874756,3.029998779296875,-0.0989999771118164,-2.220001220703125,17.714285714285715,3.8571428571428577,0.17400118790151087,1
2020-05-01,8864.7666015625,0.17400118790151087,0.2492299930654307,0.31653896159507733,0.2164724818593094,0.24895603907436703,0.07123068300509372,0.16728654711153257,0.06995811029935298,0.28142876541708794,0.1704790252112604,0.14216353299837592,0.1429141575305374,51.93842066810859,-58.237658672296675,-21.373440452893732,-0.017584853794174293,-0.005143990196242121,-0.0006360839488454006,0.6420000195503235,167.9499969482422,1.277999997138977,37.18999862670898,0.046000003814697266,-2.8899993896484375,0.10099995136260986,1.259998321533196,29.857142857142858,12.142857142857142,0.11031304692107025,1
2020-05-08,9842.666015625,0.11031304692107025,0.30350883602788237,0.4336429707841738,0.13733258325073494,0.10363119296113643,0.06381942131307894,0.18036974733426137,0.061102530251716636,0.32067627743005334,0.052959127814042176,0.2745835463208257,0.14566773342834485,52.25976003176905,119.74013910744816,6.849275459174645,0.004005503783564679,0.056970926032889224,0.03412423920540131,0.6819999814033508,163.97999572753906,1.3860000371932983,27.979999542236328,0.039999961853027344,-3.970001220703125,0.10800004005432129,-9.20999908447265,45.0,15.142857142857142,-0.052269247903290905,0
2020-05-15,9328.197265625,-0.052269247903290905,0.05227781902129447,0.3145370125588782,0.1650415396698141,0.06185282191448205,0.017643088673186202,0.048508754965185474,0.09550082130492266,0.1892258214040703,0.0663812829229092,0.21265003689236783,0.14532705188976336,47.8657696493455,216.7766315091567,48.834746669171054,0.021880030837174047,-0.007071050135972867,-0.02106416225784158,0.6399999856948853,166.7100067138672,1.319000005722046,31.88999938964844,-0.041999995708465576,2.730010986328125,-0.06700003147125244,3.909999847412113,44.0,-1.0,-0.015610745896650347,0
2020-05-22,9182.5771484375,-0.015610745896650347,-0.06706403185271392,0.21609027792821434,0.1128332049517604,-0.26797882759835134,-0.03277352681765644,-0.01310913330914465,0.10600346881778776,0.12214993312554534,0.07088432328648053,0.18715912564143422,0.1412233436730152,44.66576496655242,278.71556485155907,94.81091030564866,-0.004392033148796881,0.02862005315255245,0.03199665956814246,0.6570000052452087,165.5500030517578,1.371000051498413,28.15999984741211,0.017000019550323486,-1.160003662109375,0.05200004577636719,-3.7299995422363317,46.285714285714285,2.2857142857142847,0.027938439378497826,1
2020-05-29,9439.1240234375,0.027938439378497826,0.01189155360396077,0.06479103711244516,0.09047439373791534,-0.15927066246962795,0.03449801084612769,-0.0009543771346804952,0.06996965447150523,0.10771735733986998,0.0711847859299614,0.21617847435318382,0.14084124142996862,48.78985603160625,344.5322512041357,144.75517848534608,-0.0018381412867886082,0.016110758901170863,0.030056880616813775,0.6480000019073486,163.58999633789062,1.406999945640564,27.51000022888184,-0.009000003337860107,-1.9600067138671875,0.03599989414215088,-0.6499996185302699,41.57142857142857,-4.714285714285715,0.023986249055031106,1
2020-06-05,9665.533203125,0.023986249055031106,0.052594826798670447,-0.01799642619375741,0.08616554513834092,-0.05359885904304451,-0.003768657128105146,0.027826376734822578,0.037718356539522525,0.08953530253578879,0.07097697467218263,0.1928166569649732,0.06071572608747118,55.26500433455562,410.2328687921472,197.8507165467063,-0.030078012676474475,0.027125479150233778,0.049355903825507585,0.9039999842643738,156.11000061035156,1.6779999732971191,24.520000457763672,0.25599998235702515,-7.4799957275390625,0.2710000276565552,-2.9899997711181676,51.42857142857143,9.857142857142861,-0.01910804600674154,0
2020-06-12,9480.84375,-0.01910804600674154,0.004419872697817073,0.016363985454886487,0.07122029783741558,-0.19137442477124578,-0.018209507284440263,0.004111855373895912,0.025104439377861148,0.03397388590987993,0.07461934915230069,0.13182175101247373,0.05983506015584471,51.95459381247999,442.2996313962358,246.7404995166122,0.029175373524566117,-0.01589552138089334,-0.04737898495747328,0.6990000009536743,162.3000030517578,1.4500000476837158,36.09000015258789,-0.20499998331069946,6.19000244140625,-0.22799992561340332,11.569999694824219,51.0,-0.4285714285714306,-0.020338400294013903,0
2020-06-19,9288.0185546875,-0.020338400294013903,-0.039057819212233835,0.011482768349835304,0.0634424747692944,-0.15849476037243604,-0.012602484162649086,-0.01904880564122713,0.02643065048808731,-0.010488214361997428,0.0765372927264655,0.07856310786738452,0.06205423185602571,82.10879910391269,447.0006448486274,286.79252858301527,0.0086705430109828,0.035441751896286844,0.01456238558165035,0.6970000267028809,162.38999938964844,1.4700000286102295,35.119998931884766,-0.001999974250793457,0.089996337890625,0.019999980926513672,-0.970001220703125,38.71428571428572,-12.285714285714278,-0.013469028426344343,0
2020-06-26,9162.91796875,-0.013469028426344343,-0.03353349022865182,-0.029261831288759033,0.06384898028611416,-0.11177422902682155,-0.023367155275733964,-0.025151839695993106,0.021026156683986302,-0.027676582546446227,0.049636010133716456,0.0395944259096801,0.06333950111680584,78.01883763620657,435.6102166827113,316.5560662029545,0.015302045513108542,-0.016459237561610163,-0.027831863814720803,0.6359999775886536,165.25,1.371999979019165,34.72999954223633,-0.061000049114227295,2.8600006103515625,-0.09800004959106445,-0.3899993896484375,41.0,2.2857142857142776,-0.008252202853979651,0
2020-07-03,9087.3037109375,-0.008252202853979651,-0.02161008212550375,-0.059823858656918194,0.036779830719778916,-0.13491587514252967,-0.005634328133419908,-0.018095238145485637,0.00556507958141727,-0.025940892377835367,0.025680602511650493,0.009802947611040391,0.06416947959586193,75.691326674145,415.68996645163315,336.3828462526903,0.0026420226921126666,0.049829327948864854,0.04059331341070904,0.6690000295639038,163.58999633789062,1.4290000200271606,27.68000030517578,0.033000051975250244,-1.660003662109375,0.057000041007995605,-7.049999237060547,41.85714285714285,0.857142857142847,0.021073787378703468,1
2020-07-10,9278.8076171875,0.021073787378703468,0.012647679356373231,-0.021309931704390772,0.05101089838561263,0.018883261019983166,0.0030500584250656715,0.008099036576471264,0.018231540486607578,-0.004755171147313608,0.02094275178887334,0.01065641293529529,0.06412591633913055,75.34240794977391,410.622390085955,351.23075501934323,0.013235158524457225,0.04671080798309535,0.017166784623394937,0.6330000162124634,166.3300018310547,1.3259999752044678,27.290000915527344,-0.03600001335144043,2.7400054931640625,-0.10300004482269287,-0.3899993896484375,41.42857142857143,-0.4285714285714164,-0.013731833261256932,0
2020-07-17,9151.392578125,-0.013731833261256932,0.00705257238297885,-0.014709916410917123,0.025184328802417152,-0.02399895885168002,-0.006930431976206242,-0.0020406407198663157,0.016638213395263727,-0.018011130678296072,0.02075845467503613,-0.017494854732021392,0.06367718479322428,72.77987412080269,391.8084466253986,359.3462933405543,0.005496735400209785,-0.017236760889221436,0.013004203313817575,0.628000020980835,166.77999877929688,1.3289999961853027,25.68000030517578,-0.004999995231628418,0.4499969482421875,0.003000020980834961,-1.6100006103515625,42.71428571428572,1.2857142857142918,0.0421247363949262,1
2020-07-24,9536.892578125,0.0421247363949262,0.027814453277319684,0.040813920920217184,0.05512320677369484,-0.0051666866822071,0.019030135957799565,0.02950186568511426,0.026144480164699526,0.022014641927458056,0.023880407058384134,0.017772683703560554,0.04195964761158645,73.59460091720514,403.3552607617112,368.14808682478576,0.05043499927885797,-0.014879406635355585,-0.0026109546646257975,0.5889999866485596,169.74000549316406,1.2389999628067017,25.84000015258789,-0.03900003433227539,2.9600067138671875,-0.09000003337860107,0.15999984741210938,47.285714285714285,4.571428571428562,0.18733294981720872,1
2020-07-31,11323.466796875,0.18733294981720872,0.23734903734126878,0.24607553099012724,0.1665260628724053,0.5878261077953275,0.056691947281594546,0.15279262201507393,0.0884727412779437,0.18710729280343275,0.07037984035402203,0.19272777594875734,0.0608545385000288,79.00174463574619,550.3240099623908,404.5832714523068,0.03766086089799048,0.040029781984884716,0.017576614450997452,0.5360000133514404,171.0,1.1979999542236328,24.459999084472656,-0.05299997329711914,1.2599945068359375,-0.04100000858306885,-1.3800010681152344,66.57142857142857,19.285714285714285,0.0245513025614843,1
