Date,btc_close,btc_return_1w,btc_return_2w,btc_return_4w,btc_range_pct,btc_volume_change_1w,btc_vwap_distance,btc_volatility_4w,btc_volatility_8w,btc_sma_ratio_12w,btc_volatility_12w,btc_rsi_14w,btc_macd,market_GLD_return_1w,market_QQQ_return_1w,macro_US10Y_close,macro_VIX_close,macro_US10Y_change_1w,macro_US20Y_change_1w,macro_VIX_change_1w,fear_greed_value,fear_greed_change_1w,target_next_week_return,target_next_week_up
2020-04-10,6865.4931640625,0.06810519465068417,0.22456865774833587,0.7621179542710029,-0.3888535127053581,0.059490649186747194,-0.7132378960537946,-0.8650161917530762,1.9509044434101144,-0.8710105120342772,1.4483027402192874,-0.23170269737467053,-0.20036556178038384,1.9248585502513944,2.745185545119317,-1.0706474230755192,3.2142590557612216,1.020876466618934,-0.964651131991509,-1.325115308930798,-1.1707084056839487,0.44340653444106015,0.0336015783188827,1
2020-04-17,7096.1845703125,0.21269834156052603,0.1758869313044974,0.37913973835099957,-0.6492271260421428,-0.40335302126886113,0.457581626535444,-1.5349152009101723,1.9891040699926394,-0.6922829037845865,1.442662541181482,-0.3798221340626964,-0.20433743468133733,-0.10292229591742535,2.0394102199035635,-1.1422147510236784,2.586142029534307,-0.79403414299147,1.0186919872201523,-0.8930304478673404,-1.2704833291477025,-0.2795127203300933,0.0640789855574071,1
2020-04-24,7550.90087890625,0.527875857132712,0.48318197131376517,0.47499905051326213,-0.4985686734553304,-0.20440952952246005,0.9276849669792812,-1.3622339905203937,1.9598053883412851,-0.363765220138252,1.355826360551613,-0.46390155581307485,-0.19844079417210125,1.2258213460528344,-0.3164652900993549,-1.1975601300696535,2.189999445786434,-0.6518520082660394,1.2374697051800672,-0.5441442381676784,-1.1120172742346819,0.3696392635460446,0.1740011879015108,1
2020-05-01,8864.7666015625,1.6646197530257114,1.4822109983881142,1.1165640408049315,1.0182191127334532,0.9833265536360873,1.2973253315197746,-0.23030260132869323,2.2784533589029565,0.4199121207056389,1.663520691164657,-0.027065040198334167,-0.16891363036782192,-0.9491930852908937,-0.2687608914042848,-1.1536654916444817,2.4148367053137307,0.21796687843608376,-0.8857473338689372,0.389800473606933,-0.6131426569159131,1.2253396059282262,0.1103130469210702,1
2020-05-08,9842.666015625,1.0059984376188877,1.8451794859800446,1.61930959247161,0.005267225445434968,0.34896074012584005,1.1520023683146137,-0.425404809684683,-0.9933300407635108,0.9999401599198436,1.7538730503504452,-0.011183466306986235,-0.12745243663353167,0.13652929784760953,1.5935731552873924,-1.1154962804063226,0.7713813776256725,0.16778465529057254,-1.2730917594007383,-2.42008458268513,0.008983336446316156,1.5351621436872922,-0.0522692479032909,0
2020-05-15,9328.197265625,-0.6753218714786314,0.16517053033326787,1.1079693651863773,0.35992827749341777,0.16659157858897441,0.24655849545737205,0.3324430683821984,-0.6196538782962411,0.7286581147506738,1.742694356940762,-0.22834790623557366,-0.10484709562497416,1.0353923222436583,-0.32653814610648085,-1.1555739863323564,1.469091553441273,-0.5180339097396013,1.1298785919126402,1.1009945071839624,-0.032100455568170684,-0.13197817854006208,-0.0156107458966503,0
2020-05-22,9182.5771484375,-0.2962234955365191,-0.6328813210690554,0.6853223674072051,-0.3083128008327458,-1.2731754554776544,-0.7420305278932054,0.5638327359502153,-0.49428810589632916,0.6170024601430958,1.608040462312857,-0.3865019221131238,-0.09041798060590461,-0.28576078131706806,0.7435551721074227,-1.139352037430172,0.8035010833730214,-0.02457870555614765,-0.26528153280479366,-0.9493899659525212,0.061805354750656336,0.20735126757700995,0.0279384393784978,1
2020-05-29,9439.1240234375,0.15413384335365587,-0.10489679015395183,0.035771418490966767,-0.5944946182823709,-0.7986472144268584,0.5770565046429478,-0.23004826525263256,-0.4859231505914587,0.7441134270598749,1.5955026422596916,-0.18267673170318804,-0.075085515445333,-0.15733226647132298,0.36850057976931694,-1.14794012133408,0.6875135217814294,-0.2420336764877334,-0.5522039375605375,-0.12279513279258591,-0.1318753790319245,-0.5155679871941438,0.0239862490550311,1
2020-06-05,9665.533203125,0.11326286251627875,0.16729039559253,-0.319647915135375,-0.6496457670419211,-0.33737316983871424,-0.1732915215231238,-0.9405945439863803,-0.4917086680954978,0.6417836598881418,-1.0336347452139534,0.1373448960840254,-0.05978008932892402,-1.5774412366139865,0.6987447430061278,-0.90365695327874,0.15397046617844493,1.9743322257262061,-2.531957037936826,-0.7507925625442138,0.27309342796801733,0.9892843390641765,-0.0191080460067415,0
2020-06-12,9480.84375,-0.33239029776094103,-0.15486072767097936,-0.17213337460502381,-0.8409376024577719,-0.938785186933896,-0.4564534476741638,-1.2184987672017238,-0.39030404961511317,0.37461289910945234,-1.0625318039949934,-0.02626571395188887,-0.05230990892808011,1.4022559473525922,-0.5911141005011468,-1.0992743315041384,2.218550219705839,-1.8813080006251808,2.3708101940409274,3.156746602222327,0.2554860885332372,-0.07296436182404974,-0.0203384002940139,0
