Date,Open,High,Low,Close,Adj Close,Volume,VWAP,Symbol,Ticker
2020-01-03,7194.89208984375,7413.71533203125,6914.99609375,7344.88427734375,7344.88427734375,67479229494,7164.921956260031,BTC_USD,BTC-USD
2020-01-10,7345.37548828125,8396.73828125,7309.51416015625,8166.55419921875,8166.55419921875,174646031870,7853.24383806024,BTC_USD,BTC-USD
2020-01-17,8162.19091796875,8958.1220703125,8009.05908203125,8929.0380859375,8929.0380859375,223538254162,8544.08499547307,BTC_USD,BTC-USD
2020-01-24,8927.2119140625,9164.3623046875,8266.8408203125,8445.4345703125,8445.4345703125,189843685144,8686.22160168581,BTC_USD,BTC-USD
2020-01-31,8440.119140625,9553.1259765625,8296.21875,9350.529296875,9350.529296875,197364973826,9070.836197105154,BTC_USD,BTC-USD
2020-02-07,9346.357421875,9834.716796875,9112.8115234375,9795.943359375,9795.943359375,224959276416,9482.888770548117,BTC_USD,BTC-USD
2020-02-14,9793.0703125,10457.626953125,9678.91015625,10312.1162109375,10312.1162109375,284153175254,10108.999362177528,BTC_USD,BTC-USD
2020-02-21,10313.8564453125,10341.5556640625,9507.6376953125,9686.44140625,9686.44140625,313356984962,9815.093395437803,BTC_USD,BTC-USD
2020-02-28,9687.70703125,9951.74609375,8492.9326171875,8672.455078125,8672.455078125,305114663592,9268.219017315092,BTC_USD,BTC-USD
2020-03-06,8671.212890625,9167.6953125,8471.212890625,9122.5458984375,9122.5458984375,271657593690,8819.840059943068,BTC_USD,BTC-USD
2020-03-13,9121.6005859375,9163.220703125,4106.98095703125,5563.70703125,5563.70703125,332160861216,7148.142952565366,BTC_USD,BTC-USD
2020-03-20,5573.07763671875,6844.26171875,4575.35791015625,6198.7783203125,6198.7783203125,297465573928,5538.802208530755,BTC_USD,BTC-USD
2020-03-27,6206.521484375,6892.51123046875,5785.00439453125,6469.79833984375,6469.79833984375,291803386189,6423.84181508564,BTC_USD,BTC-USD
2020-04-03,6467.25390625,7088.24755859375,5903.234375,6733.38720703125,6733.38720703125,260130614462,6481.320431275605,BTC_USD,BTC-USD
2020-04-10,6738.3828125,7427.939453125,6696.48486328125,6865.4931640625,6865.4931640625,269838015442,7087.364119013774,BTC_USD,BTC-USD
2020-04-17,6867.4404296875,7167.18310546875,6555.50439453125,7096.1845703125,7096.1845703125,251296373252,6900.185060399982,BTC_USD,BTC-USD
2020-04-24,7092.29150390625,7574.19580078125,6834.4423828125,7550.90087890625,7550.90087890625,245481716516,7175.073696393969,BTC_USD,BTC-USD
2020-05-01,7550.48291015625,9440.650390625,7521.67236328125,8864.7666015625,8864.7666015625,306595872325,8275.31057707796,BTC_USD,BTC-USD
2020-05-08,8869.0576171875,9996.7431640625,8645.0244140625,9842.666015625,9842.666015625,338368768331,9252.196207770052,BTC_USD,BTC-USD
2020-05-15,9840.90625,9913.86328125,8374.3232421875,9328.197265625,9328.197265625,359297831500,9166.47238059387,BTC_USD,BTC-USD
2020-05-22,9333.240234375,9906.0302734375,8869.9306640625,9182.5771484375,9182.5771484375,263013619856,9493.719829881436,BTC_USD,BTC-USD
2020-05-29,9185.0625,9573.6669921875,8719.66796875,9439.1240234375,9439.1240234375,221123266383,9124.35202820461,BTC_USD,BTC-USD
2020-06-05,9438.9140625,10199.5654296875,9366.7294921875,9665.533203125,9665.533203125,209271311597,9702.097080444786,BTC_USD,BTC-USD
2020-06-12,9664.904296875,9938.2978515625,9263.0693359375,9480.84375,9480.84375,169222134719,9656.687267134446,BTC_USD,BTC-USD
2020-06-19,9480.7353515625,9579.4306640625,8990.17578125,9288.0185546875,9288.0185546875,142401313027,9406.564636544486,BTC_USD,BTC-USD
2020-06-26,9290.9599609375,9680.3671875,9095.32421875,9162.91796875,9162.91796875,126484516051,9382.152175454408,BTC_USD,BTC-USD
2020-07-03,9167.82421875,9309.7548828125,8975.525390625,9087.3037109375,9087.3037109375,109419746876,9138.794678902388,BTC_USD,BTC-USD
2020-07-10,9084.2333984375,9450.3359375,8977.015625,9278.8076171875,9278.8076171875,111485948517,9250.592768776245,BTC_USD,BTC-USD
2020-07-17,9277.51171875,9319.4189453125,9088.947265625,9151.392578125,9151.392578125,108810401826,9215.258298908755,BTC_USD,BTC-USD
2020-07-24,9151.18359375,9623.3369140625,9097.6328125,9536.892578125,9536.892578125,108248212572,9358.793466064819,BTC_USD,BTC-USD
2020-07-31,9539.4853515625,11415.8642578125,9530.2119140625,11323.466796875,11323.466796875,171879338044,10715.958256335083,BTC_USD,BTC-USD
2020-08-07,11322.5703125,12034.14453125,11012.4150390625,11601.47265625,11601.47265625,165951955802,11491.915404219311,BTC_USD,BTC-USD
2020-08-14,11604.5537109375,12150.994140625,11195.708984375,11768.87109375,11768.87109375,165040268451,11674.701164879878,BTC_USD,BTC-USD
2020-08-21,11768.697265625,12359.056640625,11564.9794921875,11592.4892578125,11592.4892578125,166649734650,11910.458800713213,BTC_USD,BTC-USD
2020-08-28,11585.4775390625,11807.6318359375,11185.94140625,11542.5,11542.5,151203479273,11519.856410994202,BTC_USD,BTC-USD
2020-09-04,11541.0546875,12067.0810546875,10182.46484375,10511.8134765625,10511.8134765625,176773006525,11273.824498469581,BTC_USD,BTC-USD
2020-09-11,10512.5302734375,10581.5712890625,9916.4931640625,10400.9150390625,10400.9150390625,272857909078,10263.244950502483,BTC_USD,BTC-USD
2020-09-18,10409.861328125,11100.1240234375,10224.330078125,10944.5859375,10944.5859375,236483664868,10696.200148320748,BTC_USD,BTC-USD
2020-09-25,10933.7529296875,11134.0927734375,10197.865234375,10692.716796875,10692.716796875,210252148570,10661.032374404178,BTC_USD,BTC-USD
