Date,Open,High,Low,Close,Adj Close,Volume,VWAP,Symbol,Ticker
2020-01-03,214.39999389648438,216.16000366210938,213.27999877929688,214.17999267578125,206.4093780517578,58488300,214.9048014158767,QQQ,QQQ
2020-01-10,212.5,219.8699951171875,212.24000549316406,218.42999267578125,210.5051727294922,115637400,216.88113334770338,QQQ,QQQ
2020-01-17,219.3300018310547,223.55999755859375,218.97999572753906,223.3800048828125,215.27560424804688,116047300,221.11707681093148,QQQ,QQQ
2020-01-24,222.75999450683594,225.8800048828125,221.6699981689453,222.6999969482422,214.6202392578125,105815300,223.6839152064249,QQQ,QQQ
2020-01-31,217.6699981689453,223.55999755859375,217.17999267578125,219.07000732421875,211.12196350097656,189504700,220.42658238213258,QQQ,QQQ
2020-02-07,220.13999938964844,230.44000244140625,219.99000549316406,229.1999969482422,220.8844451904297,142986600,227.2046662193428,QQQ,QQQ
2020-02-14,228.44000244140625,234.92999267578125,228.3800048828125,234.63999938964844,226.12710571289062,122359900,233.04269640164222,QQQ,QQQ
2020-02-21,233.5,237.47000122070312,229.32000732421875,230.27000427246094,221.9156494140625,155246200,233.4130079252403,QQQ,QQQ
2020-02-28,221.67999267578125,224.25,198.1699981689453,205.8000030517578,198.3334197998047,531799600,212.5203415387182,QQQ,QQQ
2020-03-06,208.8800048828125,219.61000061035156,202.91000366210938,208.02000427246094,200.47288513183594,486507500,212.0185327752026,QQQ,QQQ
2020-03-13,193.47999572753906,204.3000030517578,176.94000244140625,192.33999633789062,185.36167907714844,578894700,191.57490228167856,QQQ,QQQ
2020-03-20,174.14999389648438,184.67999267578125,166.8000030517578,170.6999969482422,164.50685119628906,567348200,176.0051635060263,QQQ,QQQ
2020-03-27,170.9199981689453,192.72000122070312,164.92999267578125,185.3000030517578,178.957763671875,447009100,180.9196767045779,QQQ,QQQ
2020-04-03,187.05999755859375,195.25,180.86000061035156,183.3699951171875,177.0937957763672,269684500,187.18187109529154,QQQ,QQQ
2020-04-10,190.47999572753906,203.22000122070312,189.19000244140625,200.86000061035156,193.985107421875,248861000,198.24623151794378,QQQ,QQQ
2020-04-17,200.0,216.50999450683594,198.75,215.2899932861328,207.92124938964844,281370100,210.30339488924386,QQQ,QQQ
2020-04-24,213.36000061035156,215.8800048828125,203.6300048828125,213.83999633789062,206.52088928222656,228781400,210.3234689395747,QQQ,QQQ
2020-05-01,216.19000244140625,220.0399932861328,211.2100067138672,212.74000549316406,205.4585418701172,224185400,215.85000523557974,QQQ,QQQ
2020-05-08,211.4600067138672,225.0,211.1199951171875,224.86000061035156,217.16371154785156,177556400,219.4694759081667,QQQ,QQQ
2020-05-15,223.49000549316406,228.10000610351562,215.99000549316406,223.27000427246094,215.62814331054688,249585900,221.93936323183829,QQQ,QQQ
2020-05-22,226.27999877929688,232.13999938964844,225.47000122070312,229.66000366210938,221.79940795898438,188457700,228.9196163654823,QQQ,QQQ
2020-05-29,233.36000061035156,233.60000610351562,223.94000244140625,233.36000061035156,225.37277221679688,182197000,230.26574849744313,QQQ,QQQ
2020-06-05,232.4600067138672,240.3000030517578,232.0,239.69000244140625,231.48614501953125,182469800,236.01845880761292,QQQ,QQQ
2020-06-12,239.5399932861328,247.82000732421875,231.74000549316406,235.8800048828125,227.80653381347656,271022200,239.89662061268643,QQQ,QQQ
2020-06-19,232.44000244140625,247.0,231.47000122070312,244.24000549316406,235.88040161132812,208947500,242.03535035649475,QQQ,QQQ
2020-06-26,243.67999267578125,251.14999389648438,239.67999267578125,240.22000122070312,232.40139770507812,192633900,244.89443774685807,QQQ,QQQ
2020-07-03,239.97000122070312,254.27000427246094,237.35000610351562,252.19000244140625,243.98182678222656,139932700,247.25823496903888,QQQ,QQQ
2020-07-10,255.4499969482422,264.2300109863281,255.42999267578125,263.9700012207031,255.37835693359375,174791700,259.5599585929834,QQQ,QQQ
2020-07-17,266.9100036621094,269.7900085449219,252.75999450683594,259.4200134277344,250.97650146484375,273594500,259.5564149360889,QQQ,QQQ
2020-07-24,260.0799865722656,268.4100036621094,251.32000732421875,255.55999755859375,247.24217224121094,219137400,261.0858120623901,QQQ,QQQ
2020-07-31,257.260009765625,265.95001220703125,256.45001220703125,265.7900085449219,257.1391296386719,190765800,260.49769962921573,QQQ,QQQ
2020-08-07,268.0,274.9800109863281,267.8699951171875,271.4700012207031,262.63427734375,151622600,271.037865406848,QQQ,QQQ
2020-08-14,271.7699890136719,274.8299865722656,264.6300048828125,272.1600036621094,263.30181884765625,179661300,270.1830751208977,QQQ,QQQ
2020-08-21,273.92999267578125,282.3399963378906,272.20001220703125,281.8699951171875,272.6958312988281,142804200,277.85395617798343,QQQ,QQQ
2020-08-28,285.25,293.8500061035156,281.2699890136719,292.5299987792969,283.0088806152344,191005500,288.4673451532633,QQQ,QQQ
2020-09-04,293.07000732421875,303.5,271.79998779296875,283.5799865722656,274.3502197265625,357416300,289.9993562982987,QQQ,QQQ
2020-09-11,272.2200012207031,282.20001220703125,266.8999938964844,270.45001220703125,261.6475524902344,305883000,273.67592613612214,QQQ,QQQ
2020-09-18,274.3599853515625,280.45001220703125,262.6300048828125,266.8699951171875,258.18402099609375,290518000,272.09326503159815,QQQ,QQQ
